phrase,connotation
Il est très économe.,1
C'est une personne ambitieuse.,1
Elle a défendu ses convictions avec passion.,1
C'est un quartier authentique et vivant.,1
Il a un regard perspicace sur les situations.,1
C'est un parfum discret et raffiné.,1
C'est une solution novatrice.,1
C'est un enfant plein de vie.,1
Elle a une silhouette fine et élancée.,1
C'est un leader né.,1
Il fait preuve d'une grande générosité.,1
Elle parle toujours avec bienveillance.,1
Il a une attitude exemplaire.,1
C'est une personne de confiance.,1
Elle a un sourire chaleureux.,1
Il est très appliqué dans son travail.,1
Elle apporte une énergie positive.,1
Il possède une grande intelligence émotionnelle.,1
C'est une idée brillante.,1
Sa créativité est remarquable.,1
Elle cuisine avec talent.,1
Il fait preuve d’un sang-froid admirable.,1
Son discours était inspirant.,1
Elle a un sens aigu de l’organisation.,1
Il est très respectueux.,1
C’est une solution efficace.,1
Elle a une voix douce et apaisante.,1
Il montre beaucoup d’empathie.,1
Elle est toujours ponctuelle.,1
Il fait preuve de courage.,1
Son travail est irréprochable.,1
Elle est très persévérante.,1
Il a une attitude constructive.,1
Elle possède un sens aigu de l’esthétique.,1
Il a un humour subtil.,1
Son écoute est remarquable.,1
Il est très dévoué.,1
Son analyse est pertinente.,1
Elle a une grande patience.,1
Il est très discipliné.,1
C’est un collaborateur fiable.,1
Elle garde toujours son calme.,1
Il a une grande capacité d’adaptation.,1
Elle fait preuve d’une grande maturité.,1
C’est une personne authentique.,1
Il a un esprit très ouvert.,1
Elle possède un talent naturel.,1
Il est extrêmement motivé.,1
Elle pense toujours aux autres.,1
C’est une initiative intelligente.,1
Il a une attitude positive.,1
Elle fait preuve d’une curiosité saine.,1
Il est très consciencieux.,1
Elle garde une vision optimiste.,1
Il comprend vite les situations.,1
C’est un excellent communicant.,1
Elle inspire confiance.,1
Il possède un vrai sens du leadership.,1
Elle a une grande détermination.,1
Il a une présence rassurante.,1
Elle est très organisée.,1
Il apporte de bonnes idées.,1
Elle a beaucoup de charisme.,1
Il est très poli.,1
Elle est dynamique et engagée.,1
Il a une grande rigueur.,1
Elle montre beaucoup de créativité.,1
Il est très attentionné.,1
Elle est douce et respectueuse.,1
Il fait preuve d'une grande honnêteté.,1
Elle apprend rapidement.,1
Il est calme et réfléchi.,1
Elle travaille avec passion.,1
Il est très serviable.,1
Elle possède une grande sensibilité artistique.,1
Il fait toujours preuve de professionnalisme.,1
Elle a un grand sens du partage.,1
Il a une écoute attentive.,1
Elle propose des solutions pertinentes.,1
Il est très travailleur.,1
Elle est motivée et persévérante.,1
Il est ouvert au dialogue.,1
Elle a beaucoup de tact.,1
Il a un esprit brillant.,1
Elle est minutieuse.,1
Il a un excellent sens de l’analyse.,1
Elle a une personnalité chaleureuse.,1
Il fait preuve de gentillesse.,1
Elle a une grande intelligence.,1
Son comportement est exemplaire.,1
Elle a un grand sens de la responsabilité.,1
Il est très coopératif.,1
Elle est toujours souriante.,1
Il est très perspicace.,1
Elle a une attitude encourageante.,1
C’est un modèle pour les autres.,1
Elle a un talent exceptionnel.,1
Il est extrêmement fiable.,1
Elle travaille avec sérieux.,1
Il est extrêmement méthodique.,1
Elle trouve toujours les mots justes.,1
C’est un enfant calme et curieux.,1
Il est radin.,0
C'est une personne arriviste.,0
Elle a imposé ses opinions avec agressivité.,0
C'est un quartier bruyant et populaire.,0
Il est sans cesse en train de critiquer.,0
C'est un parfum qui ne se remarque presque pas.,0
C'est une idée farfelue.,0
C'est un enfant turbulent et agité.,0
Elle est très maigre.,0
Il a un caractère dominateur.,0
Il est souvent de mauvaise foi.,0
Elle parle de manière condescendante.,0
Il est extrêmement paresseux.,0
Elle est toujours en train de se plaindre.,0
Il manque totalement d’initiative.,0
Elle a un comportement impulsif.,0
Il n’écoute jamais les autres.,0
Elle est trop autoritaire.,0
Il fait des remarques désagréables.,0
Elle a un ton sarcastique.,0
Il a un égo surdimensionné.,0
Elle est très susceptible.,0
Il manque sérieusement de discipline.,0
Elle juge trop rapidement.,0
Il fait souvent des erreurs stupides.,0
Elle est souvent distraite.,0
Il est très négligent.,0
Elle est froide et distante.,0
Il manque de respect.,0
Elle est trop pessimiste.,0
Il parle trop fort.,0
Elle interrompt constamment les autres.,0
Il est trop exigeant.,0
Elle dramatise tout.,0
Il manque de maturité.,0
Elle est jalouse pour rien.,0
Il répand des rumeurs.,0
Elle ment facilement.,0
Il est extrêmement têtu.,0
Elle est envahissante.,0
Il arrive toujours en retard.,0
Elle se met en colère facilement.,0
Il est trop impulsif.,0
Elle manque de sérieux.,0
Il est insupportable parfois.,0
Elle critique tout.,0
Il a un comportement infantile.,0
Elle manque de tact.,0
Il se plaint constamment.,0
Elle est très désorganisée.,0
Il a du mal à écouter.,0
Elle est trop bruyante.,0
Il est agressif dans ses propos.,0
Elle manque de politesse.,0
Il est lunatique.,0
Elle exagère toujours.,0
Il est très impatient.,0
Elle est trop émotive.,0
Il ne prend jamais ses responsabilités.,0
Elle ne respecte pas les règles.,0
Il est égoïste.,0
Elle n’est jamais satisfaite.,0
Il est déprimant.,0
Elle se mêle de tout.,0
Il est trop nerveux.,0
Elle est lente dans son travail.,0
Il oublie tout.,0
Elle est trop naïve.,0
Il manque d’engagement.,0
Elle provoque souvent les conflits.,0
Il est très prétentieux.,0
Elle est rancunière.,0
Il réagit de manière excessive.,0
Elle se met en victime.,0
Il est ingrat.,0
Elle est très matérialiste.,0
Il manque de fiabilité.,0
Elle parle sans réfléchir.,0
Il a des comportements déplacés.,0
Elle est très imprudente.,0
Il fait preuve d'arrogance.,0
Elle répète toujours les mêmes erreurs.,0
Il est manipulateur.,0
Elle est très lunatique.,0
Il se met en colère pour rien.,0
Elle est trop dépendante des autres.,0
Il fuit toujours les responsabilités.,0
Elle est incapable de garder un secret.,0
Il est excessivement jaloux.,0
Elle aime créer les problèmes.,0
Il n’admet jamais ses torts.,0
Elle est trop influençable.,0
Il est très bruyant.,0
Elle parle trop vite.,0
Il se montre souvent désagréable.,0
Elle fait tout au dernier moment.,0
Il est trop passif.,0
Elle est facilement irritable.,0
Il oublie souvent ses promesses.,0
Elle exagère les situations.,0
Il montre une grande maîtrise de soi.,1
Elle a un sens naturel du partage.,1
Il encourage toujours les autres.,1
Elle possède une élégance naturelle.,1
Il a une vision claire des objectifs.,1
Elle fait preuve d'une grande douceur.,1
Il prend des décisions réfléchies.,1
Elle s’exprime avec aisance.,1
Il est toujours prêt à aider.,1
Elle fait preuve d'une grande délicatesse.,1
Il propose des idées utiles.,1
Elle est courageuse et tenace.,1
Il est humble malgré ses réussites.,1
Elle réussit toujours à motiver l’équipe.,1
Il possède une mémoire exceptionnelle.,1
Elle est très intuitive.,1
Il développe des solutions pertinentes.,1
Elle fait preuve de détermination.,1
Il inspire la confiance.,1
Elle encourage les initiatives.,1
Il est très bienveillant.,1
Elle a un raisonnement logique.,1
Il sait apaiser les tensions.,1
Elle est responsable et sérieuse.,1
Il est extrêmement créatif.,1
Elle possède un esprit vif.,1
Il apprend très rapidement.,1
Elle prend soin des autres.,1
Il est très généreux.,1
Elle a une grande force morale.,1
Il est d’un naturel optimiste.,1
Elle a un rire communicatif.,1
Il est très cultivé.,1
Elle parle avec diplomatie.,1
Il a une grande humilité.,1
Elle aime partager ses connaissances.,1
Il est très impliqué.,1
Elle s’adapte facilement.,1
Il est calme même sous pression.,1
Elle travaille avec régularité.,1
Il a toujours de nouvelles idées.,1
Elle réfléchit avant d’agir.,1
Il garde toujours son sang-froid.,1
Elle a une grande finesse d’esprit.,1
Il a une attitude encourageante.,1
Elle cherche constamment à s’améliorer.,1
Il aime apprendre.,1
Elle respecte toujours ses engagements.,1
Il est très méthodique.,1
Elle a beaucoup d’endurance.,1
Il est très patient.,1
Elle est pleine de bonne volonté.,1
Il offre toujours son soutien.,1
Elle a un sens aigu de l’écoute.,1
Il est très inventif.,1
Elle trouve facilement des solutions.,1
Il est fiable et constant.,1
Elle est très appliquée.,1
Il donne toujours de bons conseils.,1
Elle motive facilement les autres.,1
Il a l’esprit d’équipe.,1
Elle est attentive aux détails.,1
Il a une excellente mémoire.,1
Elle est très sociable.,1
Il garde toujours une attitude respectueuse.,1
Elle encourage la coopération.,1
Il est très prudent.,1
Elle fait preuve d’optimisme.,1
Il montre une grande autonomie.,1
Elle est attentive à son entourage.,1
Il fait preuve de maturité.,1
Elle est ingénieuse.,1
Il est discipliné dans son travail.,1
Elle montre de la sincérité.,1
Il a un excellent sens pratique.,1
Elle a une forte personnalité positive.,1
Il se montre toujours disponible.,1
Elle est très ouverte d’esprit.,1
Il analyse les situations avec recul.,1
Elle est enthousiaste.,1
Il possède un esprit critique constructif.,1
Elle a un sens inné du respect.,1
Il reste calme dans les conflits.,1
Elle prend des initiatives intelligentes.,1
Il encourage la communication.,1
Elle est motivée et dynamique.,1
Il fait preuve d’originalité.,1
Elle gère très bien le stress.,1
Il prend soin de ses collègues.,1
Elle a une vision structurée.,1
Il exprime toujours sa gratitude.,1
Elle est très aimable.,1
Il garde une attitude positive.,1
Elle a un raisonnement rapide.,1
Il montre un engagement solide.,1
Elle travaille avec précision.,1

Il est grossier dans ses propos.,0
Elle ne fait jamais d’efforts.,0
Il se met en retrait dès qu’il y a un problème.,0
Elle se vexe pour un rien.,0
Il a un comportement irresponsable.,0
Elle parle de manière agressive.,0
Il est très désordonné.,0
Elle se plaint sans arrêt.,0
Il fait exprès d’ignorer les consignes.,0
Elle est très arrogante.,0
Il abandonne dès que c’est difficile.,0
Elle rabaisse souvent les autres.,0
Il ne respecte jamais les délais.,0
Elle est trop exigeante.,0
Il n’assume jamais ses choix.,0
Elle se dispute avec tout le monde.,0
Il est ingérable.,0
Elle ment continuellement.,0
Il est extrêmement anxieux.,0
Elle se montre trop distante.,0
Il critique tout ce que font les autres.,0
Elle n’écoute jamais vraiment.,0
Il est radin même pour les petites choses.,0
Elle cherche constamment la confrontation.,0
Il est irresponsable.,0
Elle remet tout à plus tard.,0
Il fait preuve d’insolence.,0
Elle a un comportement ingrat.,0
Il est très rancunier.,0
Elle provoque souvent les disputes.,0
Il est facilement influençable.,0
Elle est trop bruyante.,0
Il se fâche facilement.,0
Elle manque d’initiative.,0
Il se montre très autoritaire.,0
Elle est très impulsive.,0
Il critique même sans raison.,0
Elle est possessive.,0
Il est trop émotionnel.,0
Elle ne prend aucune responsabilité.,0
Il cherche toujours la facilité.,0
Elle exagère ses problèmes.,0
Il ne contrôle jamais ses émotions.,0
Elle est trop dramatique.,0
Il interrompt constamment les conversations.,0
Elle est très impatiente.,0
Il minimise les efforts des autres.,0
Elle prend tout personnellement.,0
Il parle sans réfléchir.,0
Elle est envahissante dans la vie des autres.,0
Il cherche souvent à manipuler.,0
Elle dramatise les situations.,0
Il est trop éparpillé.,0
Elle oublie souvent des choses importantes.,0
Il est négligent avec ses affaires.,0
Elle parle beaucoup trop.,0
Il se dévalorise sans arrêt.,0
Elle laisse traîner ses responsabilités.,0
Il est très lunatique.,0
Elle se montre indifférente.,0
Il manque totalement de tact.,0
Elle change d’avis trop souvent.,0
Il est pessimiste.,0
Elle crée souvent des malentendus.,0
Il est trop dur avec les autres.,0
Elle ne respecte pas les engagements.,0
Il n’a aucune ambition.,0
Elle est rancunière.,0
Il est trop critique.,0
Elle manque de fiabilité.,0
Il interprète tout négativement.,0
Elle ne veut jamais reconnaître ses torts.,0
Il est très colérique.,0
Elle se montre froide.,0
Il est trop direct dans ses paroles.,0
Elle oublie toujours les détails.,0
Il se met à paniquer facilement.,0
Elle attire les conflits.,0
Il fait toujours une montagne de rien.,0
Elle rabaisse les efforts des autres.,0
Il ne sait pas garder son calme.,0
Elle est trop émotive dans les débats.,0
Il abandonne avant de commencer.,0
Elle parle trop sèchement.,0
Il se montre trop dominateur.,0
Elle est trop dépendante.,0
Il est trop méfiant.,0
Elle est facilement distraite.,0
Il rejette toutes les idées.,0
Elle s'énerve rapidement.,0
Il est trop directif.,0
Elle ne prend jamais les bonnes décisions.,0
Il a des propos blessants.,0
Elle est facilement irritée.,0
Il fuit les problèmes.,0
Elle ne tient jamais parole.,0
Il est constamment insatisfait.,0
Elle dramatise chaque situation.,0
Il traite tout le monde avec respect.,1
Elle a une grande capacité d’écoute.,1
Il sait reconnaître ses erreurs.,1
Elle sait gérer les responsabilités.,1
Il encourage toujours les plus jeunes.,1
Elle a une démarche élégante.,1
Il prend soin de son entourage.,1
Elle fait preuve d’une grande générosité.,1
Il a une voix rassurante.,1
Elle transmet une belle énergie.,1
Il ne baisse jamais les bras.,1
Elle prend des décisions sages.,1
Il est très avenant.,1
Elle sait inspirer confiance.,1
Il propose toujours des idées innovantes.,1
Elle explique les choses clairement.,1
Il prend le temps d’aider.,1
Elle possède une grande maîtrise.,1
Il sait créer une bonne ambiance.,1
Elle fait preuve d’un vrai sens artistique.,1
Il a une grande précision.,1
Elle est appréciée de tous.,1
Il s’engage pleinement.,1
Elle réfléchit de manière stratégique.,1
Il défend ses idées avec intelligence.,1
Elle travaille efficacement.,1
Il garde une attitude bienveillante.,1
Elle est très courageuse.,1
Il arrive à motiver ceux qui l’entourent.,1
Elle gère les imprévus avec calme.,1
Il est toujours souriant.,1
Elle comprend rapidement les attentes.,1
Il sait encourager les efforts.,1
Elle maintient une attitude professionnelle.,1
Il est très adaptable.,1
Elle a un sens inné du service.,1
Il agit toujours avec intégrité.,1
Elle trouve les mots pour apaiser.,1
Il est rassurant dans les moments difficiles.,1
Elle aime collaborer.,1
Il cherche constamment à progresser.,1
Elle a un sens de l’observation remarquable.,1
Il sait reconnaître les talents des autres.,1
Elle trouve des idées pertinentes.,1
Il est très objectif.,1
Elle ne se décourage jamais.,1
Il est à l’écoute des remarques.,1
Elle est toujours motivée.,1
Il fait preuve d’une grande bonne volonté.,1
Elle a beaucoup de patience.,1
Il est très poli dans ses échanges.,1
Elle a un sens naturel du respect.,1
Il s’implique sérieusement.,1
Elle arrive toujours à rester calme.,1
Il comprend les autres.,1
Elle a une organisation impeccable.,1
Il a un esprit calme.,1
Elle crée facilement des liens.,1
Il montre une grande perspicacité.,1
Elle encourage les idées nouvelles.,1
Il est très posé.,1
Elle prend le temps d’expliquer.,1
Il cherche toujours à s’améliorer.,1
Elle valorise le travail d’équipe.,1
Il est motivé et persévérant.,1
Elle sait toujours quoi dire.,1
Il avance avec détermination.,1
Elle développe toujours des solutions utiles.,1
Il est doux dans ses interactions.,1
Elle a un esprit très analytique.,1
Il sait s’adapter aux changements.,1
Elle a un regard positif.,1
Il prend les critiques constructives.,1
Elle a un sens rare de l’équilibre.,1
Il garde une attitude honorable.,1
Elle montre de la gratitude.,1
Il a l’esprit pratique.,1
Elle soutient toujours ses amis.,1
Il fait preuve d’un grand calme.,1
Elle est très enthousiaste.,1
Il est très sérieux.,1
Elle aime apprendre.,1
Il fait de son mieux.,1
Elle valorise les autres.,1
Il a une grande intelligence sociale.,1
Elle est très protectrice.,1
Il prend toujours la bonne décision.,1
Elle a un grand sens du devoir.,1
Il a un esprit positif.,1
Elle prend en compte les besoins des autres.,1
Il sait canaliser son énergie.,1
Elle propose des idées créatives.,1
Il met les gens à l'aise.,1
Elle connaît bien ses priorités.,1
Il gère les situations délicates.,1
Elle aime transmettre ses connaissances.,1

Il critique les autres sans arrêt.,0
Elle fait preuve d’une grande jalousie.,0
Il manque de sérieux.,0
Elle n’écoute jamais les conseils.,0
Il minimise les problèmes des autres.,0
Elle est très désagréable.,0
Il se vexe rapidement.,0
Elle n’assume jamais rien.,0
Il fait tout pour éviter les responsabilités.,0
Elle parle avec mépris.,0
Il est très arrogant.,0
Elle se décourage trop facilement.,0
Il s’énerve pour un rien.,0
Elle est envahissante.,0
Il est très insensible.,0
Elle critique constamment.,0
Il ne respecte aucune règle.,0
Elle parle toujours trop.,0
Il est incroyablement impatient.,0
Elle se plaint beaucoup trop.,0
Il fait beaucoup trop de bruit.,0
Elle n’est jamais organisée.,0
Il change d’avis à tout moment.,0
Elle est toujours en retard.,0
Il provoque les disputes.,0
Elle n’écoute jamais.,0
Il est très autoritaire.,0
Elle est trop susceptible.,0
Il fait des remarques blessantes.,0
Elle se montre trop froide.,0
Il abandonne à la moindre difficulté.,0
Elle se laisse facilement manipuler.,0
Il est bien trop impulsif.,0
Elle parle sans réfléchir.,0
Il a un comportement très critique.,0
Elle n’a aucune patience.,0
Il est très négligent.,0
Elle oublie souvent ses obligations.,0
Il est trop exigeant.,0
Elle dramatise tout.,0
Il ne comprend jamais les autres.,0
Elle refuse d’écouter.,0
Il interprète tout négativement.,0
Elle exagère tout.,0
Il a un caractère très difficile.,0
Elle est facilement blessée.,0
Il est toujours stressé.,0
Elle est trop influençable.,0
Il a un comportement irresponsable.,0
Elle accuse toujours les autres.,0
Il parle trop vite et trop fort.,0
Elle manque de discipline.,0
Il se montre très méfiant.,0
Elle n’a aucune constance.,0
Il ne respecte pas ses promesses.,0
Elle est particulièrement agressive.,0
Il provoque sans arrêt.,0
Elle rabaisse les autres.,0
Il est très immature.,0
Elle n'est jamais satisfaite.,0
Il est très têtu.,0
Elle crée du désordre partout.,0
Il ne pense qu’à lui.,0
Elle se met en colère trop vite.,0
Il refuse de reconnaître ses erreurs.,0
Elle met les autres mal à l'aise.,0
Il ne supporte pas la critique.,0
Elle laisse traîner les choses.,0
Il s’énerve souvent.,0
Elle dit des choses blessantes.,0
Il parle avec trop de sarcasme.,0
Elle complique les choses.,0
Il est mauvais perdant.,0
Elle cherche toujours la confrontation.,0
Il a un caractère glacial.,0
Elle oublie tout.,0
Il est excessivement strict.,0
Elle se montre très distraite.,0
Il rend tout plus difficile.,0
Elle a un ton toujours sec.,0
Il fait des remarques déplacées.,0
Elle dramatise tout sans raison.,0
Il nie toujours les faits.,0
Elle est envahissante et intrusive.,0
Il se met facilement à crier.,0
Elle se fâche très rapidement.,0
Il agit sans réfléchir.,0
Elle refuse de coopérer.,0
Il se plaint de tout.,0
Elle interprète tout de travers.,0
Il est trop pessimiste.,0
Elle manque cruellement d’organisation.,0
Il se montre trop direct.,0
Elle ne tient jamais ses engagements.,0
Il minimise toujours les choses.,0
Elle rabaisse le travail des autres.,0
Il complique inutilement les situations.,0
Elle arrive toujours en retard.,0
Il dénigre les autres.,0
Il apporte toujours une aide précieuse.,1
Elle sait organiser efficacement.,1
Il garde une bonne humeur constante.,1
Elle agit toujours avec précaution.,1
Il a une présence rassurante.,1
Elle trouve rapidement la bonne approche.,1
Il sait apaiser les tensions.,1
Elle communique avec clarté.,1
Il est toujours prêt à écouter.,1
Elle encourage les autres à se dépasser.,1
Il respecte toujours les limites.,1
Elle a un sens aigu du détail.,1
Il travaille avec une grande rigueur.,1
Elle montre une grande détermination.,1
Il est très serviable.,1
Elle propose toujours une aide constructive.,1
Il développe des idées originales.,1
Elle sait anticiper les besoins.,1
Il est très attentionné.,1
Elle a beaucoup de tact.,1
Il apprend vite de ses erreurs.,1
Elle sait exactement comment réagir.,1
Il a une grande capacité d’analyse.,1
Elle apprécie le travail bien fait.,1
Il motive constamment son équipe.,1
Elle transmet beaucoup d’enthousiasme.,1
Il est extrêmement ponctuel.,1
Elle possède une grande créativité.,1
Il exprime ses idées clairement.,1
Elle est toujours polie.,1
Il montre beaucoup de compassion.,1
Elle a un comportement exemplaire.,1
Il est respecté pour sa sagesse.,1
Elle reste positive même dans l’adversité.,1
Il entretient de bonnes relations.,1
Elle fait preuve d’une grande sensibilité.,1
Il donne beaucoup de son temps.,1
Elle a une forte éthique professionnelle.,1
Il travaille avec passion.,1
Elle est particulièrement perspicace.,1
Il inspire les autres par son attitude.,1
Elle ne cesse de progresser.,1
Il agit toujours avec bienveillance.,1
Elle encourage les initiatives positives.,1
Il comprend vite les enjeux.,1
Elle est très organisée.,1
Il est d’une grande loyauté.,1
Elle possède beaucoup de patience.,1
Il s’exprime toujours avec respect.,1
Elle trouve des solutions pragmatiques.,1
Il est doux et attentif.,1
Elle garde le sourire.,1
Il analyse les situations calmement.,1
Elle valorise les petits efforts.,1
Il sait résoudre les conflits avec diplomatie.,1
Elle montre une grande sincérité.,1
Il voit toujours le bon côté des choses.,1
Elle a une nature bienveillante.,1
Il réalise son travail avec soin.,1
Elle est très douce.,1
Il sait reconnaître la valeur des autres.,1
Elle exprime de la gratitude.,1
Il donne son maximum.,1
Elle ne juge jamais trop vite.,1
Il est très protecteur.,1
Elle comprend bien les émotions des autres.,1
Il a beaucoup de maturité.,1
Elle encourage la réussite.,1
Il montre un engagement remarquable.,1
Elle propose des idées logiques.,1
Il garde une attitude constructive.,1
Elle manifeste toujours du respect.,1
Il sait rester neutre.,1
Elle soutient volontiers.,1
Il a une grande ouverture d’esprit.,1
Elle fait preuve de modestie.,1
Il reste concentré.,1
Elle met beaucoup de soin dans son travail.,1
Il montre de la bonne volonté.,1
Elle prend en compte chaque détail.,1
Il garde un esprit logique.,1
Elle encourage la créativité.,1
Il valorise les réussites.,1
Elle agit toujours de manière responsable.,1
Il a de bonnes intentions.,1
Elle aime travailler avec précision.,1
Il se montre très ponctuel.,1
Elle trouve toujours une alternative.,1
Il coopère facilement.,1
Elle se montre très encourageante.,1

Il crée souvent des tensions.,0
Elle ne respecte jamais les consignes.,0
Il râle constamment.,0
Elle se montre trop possessive.,0
Il évite toujours les efforts.,0
Elle est très capricieuse.,0
Il refuse de communiquer.,0
Elle exagère constamment.,0
Il parle mal aux autres.,0
Elle ridiculise les idées.,0
Il est désagréable sans raison.,0
Elle ignore souvent les remarques.,0
Il dramatise les situations.,0
Elle crée beaucoup de conflits.,0
Il est complètement désorganisé.,0
Elle se met en colère sans prévenir.,0
Il fait des reproches incessants.,0
Elle remet tout en cause.,0
Il se montre inflexible.,0
Elle juge les autres trop vite.,0
Il impose ses idées sans discussion.,0
Elle parle avec un ton méprisant.,0
Il a un comportement injuste.,0
Elle se prend trop au sérieux.,0
Il manque totalement de respect.,0
Elle cherche toujours un prétexte.,0
Il ne reconnaît jamais ses torts.,0
Elle laisse les choses se détériorer.,0
Il oublie constamment.,0
Elle met la pression inutilement.,0
Il prend tout de travers.,0
Elle agit avec trop d’impulsivité.,0
Il manque de contrôle.,0
Elle dévalorise les autres.,0
Il se met vite sur la défensive.,0
Elle parle trop brutalement.,0
Il n’a aucun sens de l’organisation.,0
Elle crée un climat tendu.,0
Il coupe la parole tout le temps.,0
Elle fait preuve d’une grande instabilité.,0
Il refuse de comprendre.,0
Elle n’a aucune rigueur.,0
Il rabaisse constamment.,0
Elle s’énerve pour des détails.,0
Il est très susceptible.,0
Elle contredit tout.,0
Il fait exprès d’être désagréable.,0
Elle rejette toutes les responsabilités.,0
Il se contient rarement.,0
Elle refuse d’apprendre.,0
Il a un comportement agressif.,0
Elle est pleine de contradictions.,0
Il sabote les efforts des autres.,0
Elle utilise un ton humiliant.,0
Il est dur sans raison.,0
Elle parle beaucoup trop fort.,0
Il détourne la vérité.,0
Elle est trop autoritaire.,0
Il ne reconnaît jamais les efforts.,0
Elle se plaint même quand tout va bien.,0
Il agit toujours dans la précipitation.,0
Elle en fait trop.,0
Il se montre ingrat.,0
Elle ignore les émotions des autres.,0
Il se comporte de manière immature.,0
Elle ne respecte jamais les délais.,0
Il agit de manière imprudente.,0
Elle est trop difficile.,0
Il provoque des disputes.,0
Elle ne fait jamais d’efforts.,0
Il affirme des choses fausses.,0
Elle parle de façon blessante.,0
Il se ferme aux idées.,0
Elle ne cherche jamais à comprendre.,0
Il est très paresseux.,0
Elle amplifie tout.,0
Il n'écoute jamais vraiment.,0
Elle refuse toute aide.,0
Il se montre trop distant.,0
Elle trouve toujours quelque chose à critiquer.,0
Il dévalorise le travail commun.,0
Elle est constamment anxieuse.,0
Il agit sans logique.,0
Elle n’a aucune patience.,0
Il met les autres mal à l’aise.,0
Elle fait preuve de médisance.,0
Il exagère les faits.,0
Elle ne prend jamais rien au sérieux.,0
Il complique chaque tâche.,0
Elle provoque la gêne.,0
Il ne veut jamais participer.,0
Elle se montre très hautaine.,0
Il ne met aucune limite.,0
Elle dénigre les succès d’autrui.,0
Il rejette toute forme de critique.,0
Elle dramatise sans cesse.,0
